
D:\code\AntiGravity\pdftoolskit-main\components\tools\ChatTool.tsx
  230:73  error  `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`  react/no-unescaped-entities
  17034:25   error  Expected a 'break' statement before 'case'                                 no-fallthrough
  17078:29   error  Expected an assignment or function call and instead saw an expression      @typescript-eslint/no-unused-expressions
  17080:25   error  Expected a 'break' statement before 'case'                                 no-fallthrough
  17091:25   error  Expected a 'break' statement before 'case'                                 no-fallthrough
  17186:29   error  'type' is already defined                                                  no-redeclare
  17186:71   error  'ref' is already defined                                                   no-redeclare
  17190:29   error  'type' is already defined                                                  no-redeclare
  17245:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
  17260:26   error  'idx' is already defined                                                   no-redeclare
  17263:26   error  'idx' is already defined                                                   no-redeclare
  17282:26   error  'idx' is already defined                                                   no-redeclare
  17285:26   error  'idx' is already defined                                                   no-redeclare
  17327:218  error  'idx' is already defined                                                   no-redeclare
  17327:223  error  'len' is already defined                                                   no-redeclare
  17327:228  error  'chunk' is already defined                                                 no-redeclare
  17327:235  error  'ref' is already defined                                                   no-redeclare
  17339:29   error  Expected an assignment or function call and instead saw an expression      @typescript-eslint/no-unused-expressions
  17341:25   error  Expected a 'break' statement before 'case'                                 no-fallthrough
  17344:29   error  Expected an assignment or function call and instead saw an expression      @typescript-eslint/no-unused-expressions
  17358:25   error  Expected a 'break' statement before 'case'                                 no-fallthrough
  17371:25   error  Expected a 'break' statement before 'case'                                 no-fallthrough
  17375:29   error  Expected an assignment or function call and instead saw an expression      @typescript-eslint/no-unused-expressions
  17377:25   error  Expected a 'break' statement before 'case'                                 no-fallthrough
  17390:25   error  Expected a 'break' statement before 'case'                                 no-fallthrough
  17762:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
  17905:29   error  Expected an assignment or function call and instead saw an expression      @typescript-eslint/no-unused-expressions
  17906:29   error  Expected an assignment or function call and instead saw an expression      @typescript-eslint/no-unused-expressions
  18033:17   error  Unexpected aliasing of 'this' to local variable                            @typescript-eslint/no-this-alias
  18071:21   error  Expected an assignment or function call and instead saw an expression      @typescript-eslint/no-unused-expressions
  19538:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  19539:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  19540:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  19541:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  19542:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21558:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21559:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21560:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21561:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21562:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21563:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21564:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21565:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21566:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21751:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21752:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21753:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21754:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  21755:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  22197:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  22198:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  22199:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  22200:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24442:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24443:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24444:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24445:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24446:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24447:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24448:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24449:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24450:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24451:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24992:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24993:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24994:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  24995:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25012:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25016:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25017:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25018:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25019:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25020:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25021:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25022:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25023:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25024:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25025:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25026:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25027:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25028:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25029:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25030:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25031:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25032:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25033:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25034:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25035:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25036:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25037:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25038:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25038:39   error  'j' is already defined                                                     no-redeclare
  25039:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25040:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25044:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25045:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25047:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
  25048:4    error  Mixed spaces and tabs                                                      no-mixed-spaces-and-tabs
